Constant   Base   Exp.   Coeff.    Minimum Log10(P)      Index   String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
pi         11     -1/2   5/2       -3.3331516402756685   904     1.457382725593782660A5515238168A926909474928015751010963853894496A8563A276076A70259497A104A31A2616886517640528A6A1668866169A49067648034288815343021829337087A6467701A407289731143561072143906A265402010576A00A7825421481503A881A9561456443299A9A342A682918529072A7987811939A85356950293581805A35246540A02A0707A1153596A9586434738820954783A718075900A433139499A296167034321488540026958621A33471839986859A1488694790265634856256739A02622A69904267239920366274A41396285065752511404377915713214477A33416476737A44468289909666745861201496540473675266A309164922603A647301A15770184995052333A29A14326A385A7620629310969382498176AA680164811944AA46618A9AA522406A3A74661014161662087277775527625200581181434243873472A626892426A719217213293635105188494905021AA716A48707356815328A995654475840061844A654068705570306271519445034426710876302099777033601A992131799000204250191029A72A137A376450038709784523510270450282351249568803A65345A5AAAAAA8848516258886495775A367655234072A490A59121528101A61337A0A9116A36969900A1A3A3843A41120115
pi         11     -1/2   2/5       -2.0175304926193034   13      0.253413561363744414609692152998857768120857977A485810237577156073053243084A50905277421684827874A4193264807130AA39068980A902A989963440113675093844822240645883255200346784073638197636964240A874AA843105829580918355691334997134418507A29A225133938437A1513A14A4488191811A33A180506A6685356145196A94419A669867959A10073070A2987376171A603A83388518A15200A3774251862995369346A22688924670A9A9851649473158473827A86040A104A74001310811670127469402686A81A00637034815998891944796A81586830162022A86A043195103464AA51168889A28637738931A4951A7998254652686537201721318AA2A449602742253472626589962033366432761234544624111066607512491A5819AA82426173764A5AAA088146A351685002471636A2783965666171796193069729865A7A9390A06158A5577956347346754A7659834051A4A6A65665A9039336988AA88493A4185782584184A447437505A200977A676646A94734986924240A4A66A29A038454534423949A559270846AA1680A1660033265480792771150890919684422A05308A06A99776141770119192704923122645758980862122A77413523320521017594817A1051764066018069519999A272082915337901A4947
pi         11     -1/2   5/3       -3.3331516402756685   904     0.A386191173998918043370A89910972546063132553838707442799362266A0A9379A550414710176328A43A694A5410957A85063A92346844594410A3324087A5396559547229388556224795343088386A049228580A2378048829978317AA0138038830071553650A54702721872740A37A2956672A5A1A81924935604935295181262A936009A7562391177697167AA067567841680A976472757A231259142731563485413974329582632A31A0481022950A59363754639414A59684926658202A4695826897543796937900862A39051A8297654489A250244186A6462791A78013534463A25161010950A315322284314498A6668192297A080867578138327AA031244A9083206106989039A7A4938683883856A27035222692A46590A62035050419944282618A654883709010690862A7330785AA36A88A0469A8680438284107879491514AA91417137754490A228A2585A493418225290A849884882199797077121A6323A75137110A6947860090A955AA27436687563778566A7AA045840010204184712667022A18107950575066514759774AA250948A2373876533860756711A4616987A3376210651A3523439102A755523453274590270723033AAAAAA95693479022206A015032450735227856A60702450A9180134096167A9810A60A0A237A4A632566328087447
pi         11     -1/2   3/4       -3.3331516402756685   904     0.4722252193A55696403170495582054A76029114A79A39A366A18559338359543719A8562454322A61513034864A8516491A38967930543053159738742602009134352702710200714176658131A201006457749553702173688379A4652A82339A239A96698A1935047A3789924AA60813968A97410865754252825A8244212A346A50088054A94897217A4684216252790897465796A3883A99504132555A17A60347877135616697987006A741A62754546504814A0008729194A87699367404261970380A58A451A521482A720008562A64319346310784A566408920156196A352892A37012445716104292478A87681A231113135869708250975583737226A638A033311630A86938593A734541442285A56560373A34954341A748A965337322A57417590761140402787764670913717A33141938855384013201003080045A7096137745678274519288A5805813240226658865198173520AA4A5AA59861088145A4915038A33A554387592133286927638850639033A233516A15416798101721201965A3946923246310359A756140789898844AA7180A4627778346267169A85441A335334137789214014707703410137858438080720467874990762222221591492A72704150678422009384346642603182615A7A22873766858825A9776208225286755900A037225A
pi         11     -1/2   4         -3.3331516402756685   904     2.2908220622837AA83158823A386A9A81AA1409782190253823A21391A540566848A1987755682484A78A51735509854874A393365189A45262093992279A0A780A71023086854703500175912A5A2A79031210676728447898327891798985A8698A52567238366201232014A8520A8676723703027205546A4223726235503A473640840626346637017920630778395A88070299117401A06686493699739655865368604A777123790943A79276876A69325123304200422049A0997749462694272745528853791A457770118A7405041148225724193848105834313443AA00376031838442915814692078931399766A31195A57052001035883A7504985467881A952A19841899359155A1971A37504752479029126373A30A7693002A89A4961110A01717AAA5AA56871243862480A85193657399564AA17A43234175176022254833350657A0AA65561767486286698A48295529156431602017081271208A579A3960747855736A0AA492355032A01A8A7456486820532686755027A386542908902709A9239627149924191795570337013470A090A9156506034447723A2513924A502AA39A337144A5036802837816A9071488811639A8A96285A4107374444440910391193093786A1077A782180A99479A1593634621A4759875A5163626780000345975633904121854624
pi         11     -1/2   1/5       -2.0175304926193034   13      0.1272072861873777623048A10814A4429389610429493A798405673839083037027121597A80458139210897969437A7647132403615AA74589A405456AA44A31775607338047422411120322997128100178942037319649318A321205437AA9770584148404641828A0717A49072209803A6A511261747421950807507A7799646406517509580353342728622648AA220A5334989484A60037035A6A437386365301A97199809A62655A73921264314A273472351134446789054AA4263247916297919695430205057A92000705960890069234756898A96500319017962A499A0A223A35408434156310115435021648057232552608999A514319374470A7A2653A49682326898819100910709AA6A77A30137668179131329A4865717332169306722778676060333038067A0A840A554121309193252AAA5996235180898001236318A6941A328886363A30A158A36A432A954745A58629A8293A2872372338253884972026525353288854574718A44554424752098396842097A7792192585100493A893323547917A43467675A7A88A6A5019782272211A24A82A135978AA6340508855716882403A13906259A0464897766A58159A58AA493862093560A0A1357A11611322929A40431066A937618117102660092A24095058093203300958A264A4A5136596A08173A00A7A23
pi         11     -1/2   5/4       -3.3331516402756685   904     0.7837413682A1941330528081196345468A04792469562926005A319819A2248A9831A693038A9012A2495057A70A68634432638758145350889988634A7A03387957214440817701096A17359953233900A759144916077286036621A035132756560293500539682107962575440AA28622877714A54A721534146426A036A9499406474A98183480147296402A7267882050150359506272A354843217919965A27941A909592A0052170747A4A6A3089017710799820013484310A71790974A4342A507998A23A0132872428683374A56866A8A45768911A465733137A761A3142588381260757739462907107793A71763238919522234144A048889229861007A3275791892688A7046324668575323700A629356424A2581171A6A50771351985386586A16048A1967A409355340087960A225523309AA55266758A7537886007630886599139392813868100296096217677437236A8689A121353646636616A1872602644247A0256655363524359183408169AA4832779297558642253275899028357031362647780177689059931565A4939017300AA466163A45556576800A056A536A619519322557435A397811805690225696726124834401A8817852AAAAAA9979808684443248392A733882672036A7A052A066269600A86173A5AA063518A34A0050A751977520610062
pi         11     -1/2   4/7       -3.3331516402756685   904     0.3601197A35121162833A750621262AA66302177434A7986903781844AA2170A43914A911087282286276234208645A228A15299A397615398817692982777AA596264820125A2263700027133624678A79966488A41A6A112A682760277612475776235573528409796681654755015A42582100482663A226219841A35239530737217532509A0A37318A81720111213AA748951449737977A412545261421408757057563942733527645378A82728A47299865051697953500777A927392250A8510422399123744AA08A57965AA532321807503A506605A117A2838336A0630005879975285360243389195913652A8A4151813AA263979495244378A16A9085744347704661219145244A2466103058638A1A1131A804058467AA57679515A939249649318974793AAA25A4985288227AA7029A3A52A872314A6220369739740035085999A1724301625556588A1251257762282A23602406809500264335803293A6152A326A5A2420A96307668700514815AA53A390A66399890A554827844085132916732AA821404186135344A60873205796857A9601602407A3206A110378233766AA167937783733862320A6359A5973132654443340615AA8828784958422222217648449767A84289332747434A64776A614A29A36A34AA10928A30809A35743163207142405295334A7071A
pi         11     -1/2   7/3       -3.3331516402756685   904     1.353203A45994A190282511414A5A035764088845775297775A5A44A9431497586522A3271421146844615833966A31378A24093011A76A95185AA581346779A01532478232131875755653444525A9A075530685398035552028A062920668A96852497942312109471376548130335A35796784570585A54A7041242785020518946A58864284573A56553A464091228A974A57208006A20402138367766138415A2212267536325A4623714463449722590A671382067398676586A3907463703706A7A96805959176089087438998857607284A6A698459557033A25538A882193A9019303A899A06636812279AA9675395AA8471604949198489769993A20409460209217848610672A809713932A680209950A07535337705098086364817A42927070592883827A9160323507782375177663A24320A65731A15287519947174A51376566684286AA8414562A8318A577615580A58A91470A083A1969352349707003319A52822333A4A7338139666540117A89A655A394956122A87570A6874A80788A250590878370547632481000513930471AA60416A9A05668110809A696976317933936423056790842A30293495483180418332991968163825997987034444442352044390973096870456275929820A0A409911936402462578A8946491581A0A1108A260013488A4778188
pi         11     -1/2   3/8       -4.374453933750925    904     0.23666810A1A828A32016357A2841027A93014607A94A74A73350982A17418482190A54286782166A8626157243254263246519A33A1582158162A37437685655A072181356905655907638884070A65600322937A28190109189973A52326A9671A511A5488A450A18023A739A467AA85961A3454920598838212696854122106A7235255995825479A3663A78976631269459A37883A35199754A2576168285095301794390728633494990035376531382278802407A5559914647A9934A189202130A35740529A780A810796A910004286A8770A1787059425288759A100830A35181446A735612229086021467945438965116061618434904125A38297373668A87450171608705434742A1A917820776698528830191A724821765379AA32719166A83763845930620201399387890461909517076474428197561656001595578535A307392289413780A144529584071201133299880A409181055252AA849860440785246257451752821992A1071698A13874425874571A671808A627633A4056366100A32A7478A1167870572A53830759449A442255364052313939723133634A98220A7181720739446620079039017600739842195959102339924A03866666662A07A153690208033976655A19772332130164130853A6699193342996854938659668143382A005019112A
